timestamp_sec,x_m,y_m
1765320892.971885,3.2186,2.9611
1765320893.023677,3.2161,2.9651
1765320893.073882,3.2136,2.9686
1765320893.120676,3.2113,2.9719
1765320893.170866,3.2085,2.9755
1765320893.212750,3.2063,2.9786
1765320893.264411,3.2035,2.9826
1765320893.330766,3.1998,2.9872
1765320893.371936,3.1975,2.9901
1765320893.411018,3.1955,2.9929
1765320893.473480,3.1919,2.9971
1765320893.519598,3.1893,3.0004
1765320893.571336,3.1863,3.0039
1765320893.611770,3.1839,3.0067
1765320893.662245,3.1809,3.0099
1765320893.730014,3.1769,3.0146
1765320893.759600,3.1750,3.0165
1765320893.810511,3.1719,3.0198
1765320893.872457,3.1679,3.0239
1765320893.920432,3.1650,3.0271
1765320893.969805,3.1616,3.0304
1765320894.012351,3.1588,3.0331
1765320894.061773,3.1555,3.0362
1765320894.111980,3.1524,3.0393
1765320894.172213,3.1483,3.0428
1765320894.221908,3.1451,3.0460
1765320894.272442,3.1417,3.0489
1765320894.318652,3.1384,3.0518
1765320894.369284,3.1349,3.0547
1765320894.412393,3.1320,3.0573
1765320894.461886,3.1284,3.0600
1765320894.529410,3.1234,3.0641
1765320894.572182,3.1203,3.0665
1765320894.622497,3.1169,3.0693
1765320894.672315,3.1134,3.0717
1765320894.723455,3.1101,3.0746
1765320894.769336,3.1064,3.0770
1765320894.812512,3.1032,3.0795
1765320894.862379,3.0993,3.0820
1765320894.929060,3.0943,3.0857
1765320894.972307,3.0909,3.0878
1765320895.022268,3.0871,3.0904
1765320895.072254,3.0835,3.0926
1765320895.123382,3.0798,3.0951
1765320895.168319,3.0761,3.0971
1765320895.212556,3.0728,3.0993
1765320895.282168,3.0674,3.1024
1765320895.328238,3.0637,3.1045
1765320895.362531,3.0609,3.1061
1765320895.422111,3.0561,3.1089
1765320895.472523,3.0522,3.1108
1765320895.522324,3.0484,3.1130
1765320895.568273,3.0444,3.1150
1765320895.612448,3.0408,3.1170
1765320895.661737,3.0364,3.1189
1765320895.712399,3.0324,3.1211
1765320895.762279,3.0283,3.1229
1765320895.822440,3.0238,3.1251
1765320895.872546,3.0194,3.1270
1765320895.922466,3.0149,3.1291
1765320895.973284,3.0103,3.1309
1765320896.012551,3.0070,3.1324
1765320896.062356,3.0027,3.1341
1765320896.111692,2.9984,3.1359
1765320896.172200,2.9932,3.1377
1765320896.222134,2.9889,3.1396
1765320896.272294,2.9844,3.1409
1765320896.322339,2.9800,3.1427
1765320896.372283,2.9756,3.1442
1765320896.412496,2.9722,3.1453
1765320896.461890,2.9677,3.1465
1765320896.512491,2.9631,3.1483
1765320896.561652,2.9584,3.1495
1765320896.622054,2.9530,3.1512
1765320896.672353,2.9484,3.1526
1765320896.722328,2.9439,3.1538
1765320896.772448,2.9394,3.1549
1765320896.812525,2.9358,3.1560
1765320896.881787,2.9293,3.1576
1765320896.933211,2.9245,3.1587
1765320896.962120,2.9216,3.1594
1765320897.022325,2.9159,3.1606
1765320897.072276,2.9110,3.1617
1765320897.122335,2.9062,3.1627
1765320897.172331,2.9014,3.1636
1765320897.214528,2.8977,3.1644
1765320897.282072,2.8913,3.1656
1765320897.331586,2.8869,3.1663
1765320897.374203,2.8839,3.1670
1765320897.422215,2.8839,3.1672
1765320897.472332,2.8859,3.1669
1765320897.522343,2.8888,3.1663
1765320897.572237,2.8941,3.1656
1765320897.612649,2.8995,3.1647
1765320897.682057,2.9103,3.1629
1765320897.733337,2.9178,3.1614
1765320897.773168,2.9233,3.1604
1765320897.822086,2.9290,3.1596
1765320897.872423,2.9314,3.1592
1765320897.922501,2.9315,3.1591
1765320897.972229,2.9303,3.1593
1765320898.013552,2.9272,3.1598
1765320898.061768,2.9216,3.1607
1765320898.112411,2.9159,3.1616
1765320898.171568,2.9094,3.1625
1765320898.221852,2.9047,3.1630
1765320898.273309,2.9000,3.1637
1765320898.322458,2.8952,3.1642
1765320898.373205,2.8901,3.1647
1765320898.413558,2.8859,3.1652
1765320898.462336,2.8827,3.1656
1765320898.533231,2.8840,3.1655
1765320898.572653,2.8857,3.1654
1765320898.621845,2.8901,3.1652
1765320898.672412,2.8967,3.1646
1765320898.722395,2.9044,3.1638
1765320898.773223,2.9121,3.1631
1765320898.813426,2.9179,3.1624
1765320898.882227,2.9270,3.1612
1765320898.931999,2.9298,3.1613
1765320898.972675,2.9302,3.1612
1765320899.013170,2.9299,3.1612
1765320899.072309,2.9269,3.1614
1765320899.122462,2.9213,3.1618
1765320899.172210,2.9152,3.1625
1765320899.212457,2.9108,3.1629
1765320899.264389,2.9054,3.1633
1765320899.312161,2.9003,3.1636
1765320899.373534,2.8938,3.1639
1765320899.423301,2.8882,3.1642
1765320899.472268,2.8831,3.1645
1765320899.522437,2.8830,3.1645
1765320899.572228,2.8853,3.1645
1765320899.612487,2.8871,3.1643
1765320899.663336,2.8919,3.1642
1765320899.712283,2.8988,3.1638
1765320899.772562,2.9082,3.1633
1765320899.812153,2.9142,3.1629
1765320899.872393,2.9229,3.1623
1765320899.922435,2.9295,3.1618
1765320899.972221,2.9331,3.1617
1765320900.012454,2.9338,3.1618
1765320900.063287,2.9330,3.1616
1765320900.112118,2.9298,3.1619
1765320900.161688,2.9246,3.1621
1765320900.223827,2.9169,3.1625
